BikeID,Duration,Start date,End date,Start station number,Start_station,End station number,End station,Bike number,Member type
529591,552,01/01/2018 00:05,01/01/2018 00:14,31104,Adams Mill & Columbia Rd NW,31400,Georgia & New Hampshire Ave NW,W00886,Member
529592,1282,01/01/2018 00:14,01/01/2018 00:35,31321,15th St & Constitution Ave NW,31321,15th St & Constitution Ave NW,W01435,Casual
529593,1265,01/01/2018 00:14,01/01/2018 00:35,31321,15th St & Constitution Ave NW,31321,15th St & Constitution Ave NW,W21242,Casual
529594,578,01/01/2018 00:15,01/01/2018 00:25,31406,14th & Upshur St NW,31103,16th & Harvard St NW,W21322,Casual
529595,372,01/01/2018 00:18,01/01/2018 00:24,31618,4th & East Capitol St NE,31619,Lincoln Park / 13th & East Capitol St NE,W00119,Member
529596,369,01/01/2018 00:18,01/01/2018 00:24,31618,4th & East Capitol St NE,31619,Lincoln Park / 13th & East Capitol St NE,W21076,Member
529597,486,01/01/2018 00:19,01/01/2018 00:27,31042,Market Square / King St & Royal St,31098,King St Metro North / Cameron St,W21048,Member
529598,1615,01/01/2018 00:21,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W21512,Member
529599,1598,01/01/2018 00:22,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W23278,Member
529600,483,01/01/2018 00:22,01/01/2018 00:30,31115,Columbia Rd & Georgia Ave NW,31509,New Jersey Ave & R St NW,W21437,Member
529601,293,01/01/2018 00:23,01/01/2018 00:28,31646,Maine Ave & 9th St SW,31108,4th & M St SW,W00800,Member
529602,1014,01/01/2018 00:25,01/01/2018 00:42,31042,Market Square / King St & Royal St,31916,Potomac & Swann Ave,W22386,Member
529603,571,01/01/2018 00:26,01/01/2018 00:35,31602,Park Rd & Holmead Pl NW,31202,14th & R St NW,W00874,Member
529604,1281,01/01/2018 00:27,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W01290,Member
529605,347,01/01/2018 00:28,01/01/2018 00:34,31114,18th St & Wyoming Ave NW,31202,14th & R St NW,W00112,Member
529606,717,01/01/2018 00:33,01/01/2018 00:45,31111,10th & U St NW,31285,22nd & P ST NW,W22760,Member
529607,710,01/01/2018 00:33,01/01/2018 00:45,31111,10th & U St NW,31285,22nd & P ST NW,W00604,Member
529608,1762,01/01/2018 00:34,01/01/2018 01:03,31041,Prince St & Union St,31918,Madison & Fairfax St,W22997,Casual
529609,288,01/01/2018 00:36,01/01/2018 00:41,31019,Wilson Blvd & N Edgewood St,31079,Lee Hwy & N Cleveland St,W01356,Member
529610,1579,01/01/2018 00:37,01/01/2018 01:03,31041,Prince St & Union St,31918,Madison & Fairfax St,W20613,Casual
529611,542,01/01/2018 00:37,01/01/2018 00:46,31103,16th & Harvard St NW,31111,10th & U St NW,W00621,Member
529612,407,01/01/2018 00:37,01/01/2018 00:44,31116,California St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W23304,Member
529613,288,01/01/2018 00:38,01/01/2018 00:43,31114,18th St & Wyoming Ave NW,31299,Connecticut Ave & R St NW,W21968,Member
529614,189,01/01/2018 00:39,01/01/2018 00:42,31278,18th & R St NW,31114,18th St & Wyoming Ave NW,W23285,Member
529615,570,01/01/2018 00:39,01/01/2018 00:48,31114,Start station,31201,15th & P St NW,W00335,Member
529616,1407,01/01/2018 00:40,01/01/2018 01:03,31041,Prince St & Union St,31918,Madison & Fairfax St,W22889,Casual
529617,326,01/01/2018 00:42,01/01/2018 00:47,31113,Columbia Rd & Belmont St NW,31101,14th & V St NW,W20488,Member
529618,437,01/01/2018 00:42,01/01/2018 00:49,31101,14th & V St NW,31286,11th & O St NW,W22490,Member
529619,1013,01/01/2018 00:43,01/01/2018 01:00,31916,Potomac & Swann Ave,31008,12th & Army Navy Dr,W20429,Member
529620,923,01/01/2018 00:50,01/01/2018 01:05,31205,21st & I St NW,31266,11th & M St NW,W22187,Member
529621,547,01/01/2018 00:52,01/01/2018 01:01,31041,Prince St & Union St,31048,King St Metro South,W22488,Member
529622,1017,01/01/2018 00:53,01/01/2018 01:10,31122,16th & Irving St NW,31505,Eckington Pl & Q St NE,W22568,Member
529623,273,01/01/2018 00:54,01/01/2018 00:58,31117,15th & Euclid St  NW,31126,11th & Girard St NW,W23086,Member
529624,928,01/01/2018 00:59,01/01/2018 01:15,31118,3rd & Elm St NW,31110,20th St & Florida Ave NW,W20034,Member
529625,383,01/01/2018 01:03,01/01/2018 01:09,31101,14th & V St NW,31114,18th St & Wyoming Ave NW,W23220,Member
529626,402,01/01/2018 01:04,01/01/2018 01:11,31265,5th St & Massachusetts Ave NW,31281,8th & O St NW,W22203,Member
529627,271,01/01/2018 01:06,01/01/2018 01:10,31223,Convention Center / 7th & M St NW,31600,5th & K St NW,W22918,Member
529628,259,01/01/2018 01:06,01/01/2018 01:10,31223,Convention Center / 7th & M St NW,31600,5th & K St NW,W23002,Member
529629,436,01/01/2018 01:07,01/01/2018 01:15,31035,N Quincy St & Glebe Rd,31049,Utah St & 11th St N,W21609,Member
529630,327,01/01/2018 01:08,01/01/2018 01:13,31601,19th & East Capitol St SE,31630,15th & East Capitol St NE,W20817,Member
529631,1402,01/01/2018 01:10,01/01/2018 01:33,31109,7th & T St NW,31298,15th & M St NW,W22209,Casual
529632,1384,01/01/2018 01:10,01/01/2018 01:33,31109,7th & T St NW,31298,15th & M St NW,W20011,Casual
529633,253,01/01/2018 01:11,01/01/2018 01:15,31282,16th & R St NW,31101,14th & V St NW,W00345,Member
529634,351,01/01/2018 01:12,01/01/2018 01:17,31047,Braddock Rd Metro,31083,Potomac Greens Dr & Slaters Ln,W21881,Member
529635,351,01/01/2018 01:12,01/01/2018 01:18,31047,Braddock Rd Metro,31083,Potomac Greens Dr & Slaters Ln,W22057,Member
529636,281,01/01/2018 01:13,01/01/2018 01:18,31623,Columbus Circle / Union Station,31618,4th & East Capitol St NE,W20918,Member
529637,773,01/01/2018 01:15,01/01/2018 01:28,31105,14th & Harvard St NW,31203,14th & Rhode Island Ave NW,W21642,Member
529638,202,01/01/2018 01:17,01/01/2018 01:20,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31607,14th & D St SE,W22830,Member
529639,1363,01/01/2018 01:17,01/01/2018 01:40,31401,14th St & Spring Rd NW,31401,14th St & Spring Rd NW,W21450,Member
529640,415,01/01/2018 01:20,01/01/2018 01:27,32024,Fenton St & Gist Ave,32025,Carroll & Westmoreland Ave,W22384,Member
