BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528666,4187,01/01/2018 01:53,01/01/2018 03:03,31507,1st & Washington Hospital Center NW,31645,6th & K St NE,W00880,Casual
528667,234,01/01/2018 01:53,01/01/2018 01:57,31618,4th & East Capitol St NE,31612,D St & Maryland Ave NE,W21782,Casual
528668,642,01/01/2018 01:54,01/01/2018 02:04,31646,Maine Ave & 9th St SW,31232,7th & F St NW / National Portrait Gallery,W01345,Member
528669,338,01/01/2018 01:55,01/01/2018 02:00,31101,14th & V St NW,31117,15th & Euclid St  NW,W00918,Member
528670,1304,01/01/2018 01:56,01/01/2018 02:18,31104,Adams Mill & Columbia Rd NW,31519,1st & O St NW,W22509,Member
528671,56280,01/01/2018 01:56,01/01/2018 17:34,31245,7th & R St NW / Shaw Library,31119,14th & Belmont St NW,W22902,Casual
528672,722,01/01/2018 01:57,01/01/2018 02:09,31283,14th & L St NW,31638,1st & H St NW,W21007,Member
528673,1186,01/01/2018 01:57,01/01/2018 02:17,31300,Van Ness Metro / UDC,31214,17th & Corcoran St NW,W01139,Member
528674,273,01/01/2018 02:00,01/01/2018 02:04,31203,14th & Rhode Island Ave NW,31266,11th & M St NW,W21642,Member
528675,428,01/01/2018 02:00,01/01/2018 02:07,31615,6th & H St NE,31618,4th & East Capitol St NE,W21962,Member
528676,124,01/01/2018 02:01,01/01/2018 02:03,31214,17th & Corcoran St NW,31229,New Hampshire Ave & T St NW,W00515,Member
528677,209,01/01/2018 02:02,01/01/2018 02:05,31606,Potomac & Pennsylvania Ave SE,31626,15th St & Massachusetts Ave SE,W20942,Member
528678,348,01/01/2018 02:02,01/01/2018 02:08,31282,16th & R St NW,31285,22nd & P ST NW,W22596,Member
528679,519,01/01/2018 02:02,01/01/2018 02:11,31294,7th & E St SW,31634,3rd & Tingey St SE,W22837,Member
528680,1451,01/01/2018 02:03,01/01/2018 02:27,31200,Massachusetts Ave & Dupont Circle NW,31602,Park Rd & Holmead Pl NW,W21168,Casual
528681,875,01/01/2018 02:03,01/01/2018 02:17,31118,3rd & Elm St NW,31401,14th St & Spring Rd NW,W20953,Member
528682,1438,01/01/2018 02:03,01/01/2018 02:27,31200,Massachusetts Ave & Dupont Circle NW,31602,Park Rd & Holmead Pl NW,W21556,Casual
528683,179,01/01/2018 02:05,01/01/2018 02:08,31234,20th & O St NW / Dupont South,31128,23rd & M St NW,W00428,Member
528684,368,01/01/2018 02:05,01/01/2018 02:11,31600,5th & K St NW,31603,1st & M St NE,W22330,Member
528685,533,01/01/2018 02:06,01/01/2018 02:15,31243,4th & C St SW,31628,1st & K St SE,W21360,Casual
528686,522,01/01/2018 02:06,01/01/2018 02:15,31243,4th & C St SW,31628,1st & K St SE,W22796,Casual
528687,475,01/01/2018 02:09,01/01/2018 02:16,31636,New Jersey Ave & N St NW/Dunbar HS,31266,11th & M St NW,W20862,Member
528688,296,01/01/2018 02:10,01/01/2018 02:15,31228,8th & H St NW,31251,12th & L St NW,W00437,Member
528689,257,01/01/2018 02:12,01/01/2018 02:17,31111,10th & U St NW,31202,14th & R St NW,W21679,Member
528690,886,01/01/2018 02:13,01/01/2018 02:28,31616,3rd & H St NE,31607,14th & D St SE,W22987,Member
528691,420,01/01/2018 02:14,01/01/2018 02:21,31203,14th & Rhode Island Ave NW,31281,8th & O St NW,W00049,Member
528692,330,01/01/2018 02:16,01/01/2018 02:22,31030,Lee Hwy & N Adams St,31016,Clarendon Blvd & Pierce St,W22094,Casual
528693,171,01/01/2018 02:18,01/01/2018 02:21,31114,18th St & Wyoming Ave NW,31110,20th St & Florida Ave NW,W21501,Casual
528694,705,01/01/2018 02:18,01/01/2018 02:30,31109,7th & T St NW,31110,20th St & Florida Ave NW,W21822,Member
528695,636,01/01/2018 02:18,01/01/2018 02:29,31109,7th & T St NW,31500,4th & W St NE,W23182,Member
528696,577,01/01/2018 02:18,01/01/2018 02:28,31223,Convention Center / 7th & M St NW,31282,16th & R St NW,W00179,Member
528697,210,01/01/2018 02:19,01/01/2018 02:22,31114,18th St & Wyoming Ave NW,31116,California St & Florida Ave NW,W21107,Casual
528698,621,01/01/2018 02:20,01/01/2018 02:30,31126,11th & Girard St NW,31214,17th & Corcoran St NW,W00786,Member
528699,276,01/01/2018 02:27,01/01/2018 02:31,31113,Columbia Rd & Belmont St NW,31103,16th & Harvard St NW,W00189,Member
528700,340,01/01/2018 02:27,01/01/2018 02:33,31286,11th & O St NW,31282,16th & R St NW,W00270,Member
528701,513,01/01/2018 02:27,01/01/2018 02:36,31616,3rd & H St NE,31512,Neal St & Trinidad Ave NE,W21707,Member
528702,171,01/01/2018 02:31,01/01/2018 02:34,31280,11th & S St NW,31266,11th & M St NW,W22082,Member
528703,643,01/01/2018 02:39,01/01/2018 02:49,31116,California St & Florida Ave NW,31266,11th & M St NW,W00246,Member
528704,593,01/01/2018 02:39,01/01/2018 02:49,31239,Rhode Island & Connecticut Ave NW,31245,7th & R St NW / Shaw Library,W22098,Member
528705,756,01/01/2018 02:43,01/01/2018 02:55,31124,14th & Irving St NW,31509,New Jersey Ave & R St NW,W22721,Member
528706,603,01/01/2018 02:45,01/01/2018 02:55,31103,16th & Harvard St NW,31111,10th & U St NW,W21422,Member
